127.0.0.1 - - [30/Apr/2024:09:32:18 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:32:18 +0900] "GET /Shop_Test/ HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:32:19 +0900] "GET /Shop_Test/static/img/logo.png HTTP/1.1" 200 17374
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:32:21 +0900] "GET /Shop_Test/shop/products.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [30/Apr/2024:09:33:05 +0900] "GET /Shop_Test/shop/products.jsp HTTP/1.1" 200 5919
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:10:24 +0900] "GET /Shop_Test/shop/products.jsp HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:10:24 +0900] "GET /Shop_Test/shop/img?id=P100004 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:10:24 +0900] "GET /Shop_Test/shop/img?id=P100002 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:10:24 +0900] "GET /Shop_Test/shop/img?id=P223123 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:10:24 +0900] "GET /Shop_Test/shop/img?id=P100001 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:10:24 +0900] "GET /Shop_Test/shop/img?id=P100003 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:46 +0900] "GET /Shop_Test/shop/products.jsp HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P100001 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P100004 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P223123 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P100002 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P100003 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/products.jsp HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P223123 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P100001 HTTP/1.1" 200 21646
0:0:0:0:0:0:0:1 - - [30/Apr/2024:10:16:47 +0900] "GET /Shop_Test/shop/img?id=P100004 HTTP/1.1" 200 21646
